year,country,show,2022-2023 average net flow,constant aid ratios,20% decrease in concessional finance,30% decrease in concessional finance
2023,Developing countries,,59537259833.600006,,,
2023,Developing countries,True,,73754866872.79999,73754866872.79999,73754866872.79999
2024,Developing countries,,59537259833.600006,,,
2024,Developing countries,True,,-29163560966.900024,-29533911785.15851,-29533911785.15851
2025,Developing countries,,59537259833.600006,,,
2025,Developing countries,True,,26927705138.099976,23933611921.83539,19722568803.751953
2026,Developing countries,,59537259833.600006,,,
2026,Developing countries,True,,26372301792.899963,19564508951.375793,11142422715.209106
2027,Developing countries,,59537259833.600006,,,
2027,Developing countries,True,,49187358283.099976,34174715279.796143,21541585925.546143
2023,Africa,,43819799814.35,,,
2023,Africa,True,,46727258882.6,46727258882.6,46727258882.6
2024,Africa,,43819799814.35,,,
2024,Africa,True,,12349097961.59999,11741007626.894516,11741007626.894516
2025,Africa,,43819799814.35,,,
2025,Africa,True,,26344269051.600006,22939794307.185547,20726537160.862213
2026,Africa,,43819799814.35,,,
2026,Africa,True,,31166192418.59999,25084438027.59752,20657923734.95085
2027,Africa,,43819799814.35,,,
2027,Africa,True,,38288107146.600006,28915216854.241608,22275445415.27162
2023,Low income,,36212327524.649994,,,
2023,Low income,True,,39458236284.2,39458236284.2,39458236284.2
2024,Low income,,36212327524.649994,,,
2024,Low income,True,,28630646569.5,28173935912.783264,28173935912.783264
2025,Low income,,36212327524.649994,,,
2025,Low income,True,,34505871881.7,32030603102.476624,30491671529.156624
2026,Low income,,36212327524.649994,,,
2026,Low income,True,,35390520603.2,30903939943.363094,27826076796.723087
2027,Low income,,36212327524.649994,,,
2027,Low income,True,,35381226267.4,28592537378.09764,23975742658.13764
2023,Lower middle income,,50693227306.35,,,
2023,Lower middle income,True,,53801872119.3,53801872119.3,53801872119.3
2024,Lower middle income,,50693227306.35,,,
2024,Lower middle income,True,,-6846881377.200012,-6654064102.997742,-6654064102.997742
2025,Lower middle income,,50693227306.35,,,
2025,Lower middle income,True,,8563211185.199982,8457921905.734344,6469162172.901001
2026,Lower middle income,,50693227306.35,,,
2026,Lower middle income,True,,7052581380.899994,5737681255.581818,1760161789.9151611
2027,Lower middle income,,50693227306.35,,,
2027,Lower middle income,True,,21176529878.099976,15456507811.07782,9490228612.57782
2023,Upper middle income,,-27574386206.149998,,,
2023,Upper middle income,True,,-19711731276.6,-19711731276.6,-19711731276.6
2024,Upper middle income,,-27574386206.149998,,,
2024,Upper middle income,True,,-51037746918.80002,-51144719012.00513,-51144719012.00513
2025,Upper middle income,,-27574386206.149998,,,
2025,Upper middle income,True,,-16209210423.800018,-16620140434.344149,-17301571446.27414
2026,Upper middle income,,-27574386206.149998,,,
2026,Upper middle income,True,,-16127342507.800018,-17130957802.116272,-18493819825.976288
2027,Upper middle income,,-27574386206.149998,,,
2027,Upper middle income,True,,-7426812462.899994,-9926838845.620544,-11971131881.410522
2023,Afghanistan,,3524051500.0,,,
2023,Afghanistan,True,,3103520000.0,3103520000.0,3103520000.0
2024,Afghanistan,,3524051500.0,,,
2024,Afghanistan,True,,2986710885.7,2919769387.2873626,2919769387.2873626
2025,Afghanistan,,3524051500.0,,,
2025,Afghanistan,True,,2993679117.6,2703352269.9343796,2570711936.601046
2026,Afghanistan,,3524051500.0,,,
2026,Afghanistan,True,,2998410771.5,2450398273.223242,2185117606.5565753
2027,Afghanistan,,3524051500.0,,,
2027,Afghanistan,True,,3002215481.3,2154777606.9048324,1756856606.904832
2023,Albania,,545758163.95,,,
2023,Albania,True,,831963092.0,831963092.0,831963092.0
2024,Albania,,545758163.95,,,
2024,Albania,True,,571056649.6999999,555289881.3666188,555289881.3666188
2025,Albania,,545758163.95,,,
2025,Albania,True,,4200167.200000048,-17398076.472795963,-24606734.15946269
2026,Albania,,545758163.95,,,
2026,Albania,True,,688801506.9,660459919.6618148,646042604.2884811
2027,Albania,,545758163.95,,,
2027,Albania,True,,228127996.29999995,193717603.6683457,172091630.6083455
2023,Algeria,,122534722.25,,,
2023,Algeria,True,,132623359.9,132623359.9,132623359.9
2024,Algeria,,122534722.25,,,
2024,Algeria,True,,147076414.9,134820270.61966762,134820270.61966762
2025,Algeria,,122534722.25,,,
2025,Algeria,True,,161739905.60000002,134848569.03152418,127715902.36485744
2026,Algeria,,122534722.25,,,
2026,Algeria,True,,161711356.5,133977939.82648095,119712606.49314764
2027,Algeria,,122534722.25,,,
2027,Algeria,True,,163264292.5,135365615.2845475,113967615.28454752
2023,Angola,,-3540578576.3,,,
2023,Angola,True,,-6576210642.7,-6576210642.7,-6576210642.7
2024,Angola,,-3540578576.3,,,
2024,Angola,True,,-8661298937.0,-8656777185.136723,-8656777185.136723
2025,Angola,,-3540578576.3,,,
2025,Angola,True,,-8404893715.2,-8412520696.78075,-8421663395.334084
2026,Angola,,-3540578576.3,,,
2026,Angola,True,,-5724261945.2,-5743159373.121315,-5761444770.227982
2027,Angola,,-3540578576.3,,,
