year,donor_name,currency,prices,ODA,ODA (Projected Scenario 2),ODA (Projected Scenario 3)
2000,DAC Countries,USD,current,54021520000.0,,
2001,DAC Countries,USD,current,52769530000.0,,
2002,DAC Countries,USD,current,58658870000.0,,
2003,DAC Countries,USD,current,69608000000.0,,
2004,DAC Countries,USD,current,80222080000.0,,
2005,DAC Countries,USD,current,108432470000.0,,
2006,DAC Countries,USD,current,105615840000.0,,
2007,DAC Countries,USD,current,105100450000.0,,
2008,DAC Countries,USD,current,122982550000.0,,
2009,DAC Countries,USD,current,120750560000.0,,
2010,DAC Countries,USD,current,128554830000.0,,
2011,DAC Countries,USD,current,135206220000.0,,
2012,DAC Countries,USD,current,127125890000.0,,
2013,DAC Countries,USD,current,134951630000.0,,
2014,DAC Countries,USD,current,137647220000.0,,
2015,DAC Countries,USD,current,131668290000.0,,
2016,DAC Countries,USD,current,145051270000.0,,
2017,DAC Countries,USD,current,147292270000.0,,
2018,DAC Countries,USD,current,153629670000.0,,
2019,DAC Countries,USD,current,151870740000.0,,
2020,DAC Countries,USD,current,162362870000.0,,
2021,DAC Countries,USD,current,186130810000.0,,
2022,DAC Countries,USD,current,210808500000.0,,
2023,DAC Countries,USD,current,223454970000.0,,
2024,DAC Countries,USD,current,212086390000.0,212086390000.0,212086390000.0
2025,DAC Countries,USD,current,,192476177408.29236,183296680741.62567
2026,DAC Countries,USD,current,,178737777025.5229,160378783692.18954
2027,DAC Countries,USD,current,,163124652525.72327,135586162525.72327
2000,Australia,USD,current,987140000.0,,
2000,Austria,USD,current,439700000.0,,
2000,Belgium,USD,current,819660000.0,,
2000,Canada,USD,current,1743600000.0,,
2000,Czechia,USD,current,16160000.0,,
2000,Denmark,USD,current,1664180000.0,,
2000,Estonia,USD,current,520000.0,,
2000,Finland,USD,current,370840000.0,,
2000,France,USD,current,4104710000.0,,
2000,Germany,USD,current,5030000000.0,,
2000,Greece,USD,current,226000000.0,,
2000,Iceland,USD,current,8610000.0,,
2000,Ireland,USD,current,234000000.0,,
2000,Italy,USD,current,1376260000.0,,
2000,Japan,USD,current,13507960000.0,,
2000,Korea,USD,current,212070000.0,,
2000,Luxembourg,USD,current,122970000.0,,
2000,Netherlands,USD,current,3134780000.0,,
2000,New Zealand,USD,current,113220000.0,,
2000,Norway,USD,current,1263560000.0,,
2000,Poland,USD,current,28810000.0,,
2000,Portugal,USD,current,270620000.0,,
2000,Slovak Republic,USD,current,5860000.0,,
2000,Spain,USD,current,1194820000.0,,
2000,Sweden,USD,current,1798950000.0,,
2000,Switzerland,USD,current,890370000.0,,
2000,United Kingdom,USD,current,4501260000.0,,
2000,United States,USD,current,9954890000.0,,
2001,Australia,USD,current,872780000.0,,
2001,Austria,USD,current,633090000.0,,
2001,Belgium,USD,current,867320000.0,,
2001,Canada,USD,current,1532750000.0,,
2001,Czechia,USD,current,26490000.0,,
2001,Denmark,USD,current,1634420000.0,,
2001,Estonia,USD,current,490000.0,,
2001,Finland,USD,current,389000000.0,,
2001,France,USD,current,4198029999.9999995,,
2001,Germany,USD,current,4989500000.0,,
2001,Greece,USD,current,201540000.0,,
2001,Iceland,USD,current,9730000.0,,
2001,Ireland,USD,current,286530000.0,,
2001,Italy,USD,current,1626950000.0,,
2001,Japan,USD,current,9846820000.0,,
2001,Korea,USD,current,264649999.99999997,,
2001,Lithuania,USD,current,1750000.0,,
2001,Luxembourg,USD,current,138940000.0,,
2001,Netherlands,USD,current,3172490000.0,,
2001,New Zealand,USD,current,111660000.0,,
2001,Norway,USD,current,1345910000.0,,
2001,Poland,USD,current,35560000.0,,
2001,Portugal,USD,current,268450000.0,,
2001,Slovak Republic,USD,current,8279999.999999999,,
2001,Spain,USD,current,1737040000.0,,
2001,Sweden,USD,current,1665600000.0,,
2001,Switzerland,USD,current,908210000.0,,
2001,United Kingdom,USD,current,4566200000.0,,
2001,United States,USD,current,11429350000.0,,
2002,Australia,USD,current,988740000.0,,
2002,Austria,USD,current,520159999.99999994,,
2002,Belgium,USD,current,1071589999.9999999,,
2002,Canada,USD,current,2004160000.0,,
2002,Czechia,USD,current,45430000.0,,
2002,Denmark,USD,current,1643240000.0,,
2002,Estonia,USD,current,1250000.0,,
2002,Finland,USD,current,462190000.0,,
2002,France,USD,current,5486150000.0,,
2002,Germany,USD,current,5324430000.0,,
2002,Greece,USD,current,276130000.0,,
2002,Iceland,USD,current,12650000.0,,
2002,Ireland,USD,current,397750000.0,,
2002,Italy,USD,current,2332130000.0,,
2002,Japan,USD,current,9282960000.0,,
2002,Korea,USD,current,278780000.0,,
2002,Latvia,USD,current,1500000.0,,
2002,Lithuania,USD,current,1640000.0,,
2002,Luxembourg,USD,current,146760000.0,,
2002,Netherlands,USD,current,3338010000.0,,
2002,New Zealand,USD,current,121860000.0,,
2002,Norway,USD,current,1696090000.0,,
2002,Poland,USD,current,14260000.0,,
2002,Portugal,USD,current,322580000.0,,
2002,Slovak Republic,USD,current,6680000.0,,
2002,Spain,USD,current,1712210000.0,,
2002,Sweden,USD,current,2011560000.0,,
